feature,importance
DemandMax_100_log1p,748.5295569610298
DemandMean_100_log1p,432.47631714368254
DemandMean_66_log1p,415.14484660617853
DemandMax_66_log1p,206.35172124881615
Lag_EoD_Bestand_noSiBe_mean_28Tage,183.27062048325652
EoD_Bestand_noSiBe_log1p,162.19843709428255
DemandMean_50_log1p,161.5914323244496
Lag_EoD_Bestand_noSiBe_28Tage,149.39458919210037
DemandMax_50_log1p,149.0709205449486
EoD_Bestand_noSiBe,111.91457529633594
DemandMax_25_log1p,111.5171860846749
DeficitPos_log1p,87.02741101380921
Price_Material_var,83.41438194443566
Lag_EoD_Bestand_noSiBe_7Tage,58.663510461824345
DemandMean_25_log1p,54.59868621451589
Lag_EoD_Bestand_noSiBe_mean_7Tage,53.86390931016583
WBZ_Days,27.568586691555755
