feature,importance
DemandMax_100_log1p,986.7066630079826
DemandMean_100_log1p,760.0286036138193
DemandMean_66_log1p,562.7657123398495
DemandMax_66_log1p,432.0090131551002
DemandMax_50_log1p,407.67870721747295
DemandMean_50_log1p,323.1982752373509
Lag_EoD_Bestand_noSiBe_mean_28Tage,289.20964162891414
DemandMean_25_log1p,257.15881716788874
EoD_Bestand_noSiBe_log1p,232.66605240802772
EoD_Bestand_noSiBe,187.1284517442109
DemandMax_25_log1p,186.27967020433317
Lag_EoD_Bestand_noSiBe_7Tage,173.42471980226273
Lag_EoD_Bestand_noSiBe_28Tage,156.03300297069737
Price_Material_var,148.87683821583119
Lag_EoD_Bestand_noSiBe_mean_7Tage,120.47281670745966
DeficitPos_log1p,84.1413540473142
WBZ_Days,63.756672853265535
