"Firma";"Lagerort";"ML_Ort_Obj";"Teil ";"S_Artikel_Obj";"Var ";"Chargennummer ";"MC_Charge_Obj";"MMM_CusRefOrder_Obj";"Bestand";"MLA_OnHand_Obj";"KommNr";"Fremdbestand";"FKom"
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"1100831";"PA0490::958b368b987d32b4e11131c6076e1505";"";"";"";"";994,000;"PA2213:z:c5d622d4a0103582cb14676a04abd04c";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"1300304";"PA0490::958b368b987d32b4e11131c686822805";"";"";"";"";763,000;"PA2213:Ypdb:f7164d7c9795a5b45514bde330ac7b7f";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"1503796";"PA0490:z:fdfd493e327c549e5914e02624bcc8d3";"";"";"";"";118,000;"PA2213:z:d06ad5ae9af8e2adc41425383484fd14";"";0,000;nein
"100";126;"PA0823::98ca40e8881b788fe61103bbb6dfb806";"1503796";"PA0490:z:fdfd493e327c549e5914e02624bcc8d3";"";"";"";"";1.815,000;"PA2213:z:efcbd12fa7cbef8cc414068bc0532526";"";0,000;nein
