"Firma";"Teil ";"S_Artikel_Obj";"Lagerort";"ML_Ort_Obj";"Var ";"ML_Lagergruppe_Obj";"Lagerplatz";"Auffüllbestand";"Auslösebestand";"Inv";"InvMeldebestand";"pInv";"Maximalbestand";"Meldebestand";"Sicherheitsbest";"Vorratsbestand";"UmlMenge";"ULV";"BuSp";"arch";"MLM_StorPartData_Obj";"Kunde*";"Sachbearb";"Projekt";"Laufzeit"
"100";"1100831";"PA0490::958b368b987d32b4e11131c6076e1505";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;487,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dce4f5ba9677";"";"";"A-Teil";31.12.2024
"100";"1300304";"PA0490::958b368b987d32b4e11131c686822805";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;50,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dce4d3ece39e";"";"cbienefeld";"";31.12.2025
"100";"1503796";"PA0490:z:fdfd493e327c549e5914e02624bcc8d3";126;"PA0823::98ca40e8881b788fe61103bbb6dfb806";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;150,000;0,000;0,000;nein;nein;nein;"PA2215:z:fdfd493e327c549e5914e026847718f0";"";"";"";
