"geänd durch";"ÄndDatum";"ÄndZeit";"Firma";"Teil ";"Suchbegriff";"Selektion";"Sortierbezeichnung";"VertGr";"TGr";"TA";"VarMerkmalsleiste";"arch";"Sparte";"Präf";"ULa";"Tarifbezeichnung";"Embg";"Kennung";"LME-BME";"gen von";"gen bis";"GefahrgutNr";"WBZ";"ZEWBZ";"LZ L";"KalkPreis";"KalkDat";"KalkPreis 2";"KalkDat 2";"SBM_ValueFlowGroup_Obj";"ChaArt";"SNRArt ";"Seriennummerntyp";"Verwendungsart";"VAr";"KomL";"Prüfvorschrift";"ProdManager";"ABC";"DIN/ISO";"LME";"StkFaktor";"SLME";"UReg";"Plng";"DPlg";"Standard VK";"LME-SME";"Gew/LME";"GME";"Gew/GME";"KdStatistik";"rabf";"TRabGr";"prvf";"ProvGr";"BewGr";"skof";"PE";"PfVa";"fSP";"WS";"Bild";"Schema";"Bauteiltyp";"Werkstoff";"EurK";"angel durch";"AnlDatum";"AnlZt";"Prio";"miWBZ";"PrA";"S_Artikel_Obj";"best";"Frml";"ADP";"DPrÜ";"Driver_Obj";"VerfE";"VerfV";"SBM_CustomsTariffNo_Obj";"stf";"Sortierbezeichnung 2";"Sortierbezeichnung 3";"Sortierbezeichnung 4";"aWBZ";"Prozesskategorie";"Restmenge"
"cbienefeld";11.02.2025;"12:03:20";"100";"1100831";"RoHS";"Pfostenverbinder";"71600-026LF";"100";"VB0100";10;"";nein;"";ja;"USA";"";nein;"";1,0000;;;"";63;"4";ja;0,000000;;0,000000;;"PA2220:z:d645073b39f3e7bf8b148905603b3ecb";"";"";"";"";0;0;"";"";"A";"UL 94V-0";0;1,0000000;0;99;nein;nein;0,000000;;0,0038;0;0,0000;führen;ja;"";ja;"";"02";ja;2;0;ja;0;"1100831.jpg";0;"";"";nein;"amohren";06.09.2005;"10:35:58";0;14;nein;"PA0490::958b368b987d32b4e11131c6076e1505";nein;0;0%;1;"";0;0;"PA2393:Ypdb:8da57fc49b7d6f975514c9f17f57437b";nein;"Pfostenverbinder 2x13pol+ZE";"PVB-2X13-R2,54-CUSN/AU-2-MP";"H10,6/-65°+125°C/GR/UL94V-0/ZE";0;"FBL-Steckverbinder";0,000
"cbienefeld";12.10.2023;"14:41:36";"100";"1300304";"RoHS";"DIN 41612 + Sonderfo";"09062152871";"100";"VB0100";10;"";nein;"";ja;"D";"";nein;"";1,0000;;;"";35;"4";ja;0,000000;;0,000000;;"PA2220:z:d645073b39f3e7bf8b148905603b3ecb";"";"";"";"";0;0;"";"";"-";"";0;1,0000000;0;14;nein;nein;0,000000;;0,0414;0;0,0000;führen;ja;"";ja;"";"02";ja;2;0;ja;0;"1300304.jpg";0;"";"";nein;"amohren";22.05.2011;"13:03:40";0;35;nein;"PA0490::958b368b987d32b4e11131c686822805";nein;0;0%;1;"";0;0;"PA2393:Ypdb:8da57fc49b7d6f975514c9f17f57437b";nein;"Federleiste H15";"FH-15-GER-GK1-R5,08";"";0;"Steckverbinder";0,000
"nfietz";08.08.2024;"16:23:45";"100";"1503796";"RoHS";"Sonstige Garnituren";"M: diverse";"100";"V-Satz";6;"";nein;"";nein;"CZ";"";nein;"";1,0000;;;"";5;"4";nein;0,000000;;0,000000;;"PA2220:z:d645073b39f3e7bf8b14780590e6d09b";"";"";"";"";0;0;"";"";"-";"";0;1,0000000;0;99;nein;nein;0,000000;;0,0000;0;0,0000;führen;ja;"";ja;"";"01";ja;2;0;ja;0;"";0;"";"";nein;"lsim";27.08.2019;"06:46:22";0;5;nein;"PA0490:z:fdfd493e327c549e5914e02624bcc8d3";nein;0;0%;1;"";0;0;"PA2393:Ypdb:8da57fc49b7d6f975514c9f1af1e027c";nein;"310 mm Schrumpfschlauch";"310 mm Schrumpfschlauch";"Nordex";35;"";0,000
