"geänd durch";"ÄndDatum";"ÄndZeit";"Firma";"Teil ";"Suchbegriff";"Selektion";"Sortierbezeichnung";"VertGr";"TGr";"TA";"VarMerkmalsleiste";"arch";"Sparte";"Präf";"ULa";"Tarifbezeichnung";"Embg";"Kennung";"LME-BME";"gen von";"gen bis";"GefahrgutNr";"WBZ";"ZEWBZ";"LZ L";"KalkPreis";"KalkDat";"KalkPreis 2";"KalkDat 2";"SBM_ValueFlowGroup_Obj";"ChaArt";"SNRArt ";"Seriennummerntyp";"Verwendungsart";"VAr";"KomL";"Prüfvorschrift";"ProdManager";"ABC";"DIN/ISO";"LME";"StkFaktor";"SLME";"UReg";"Plng";"DPlg";"Standard VK";"LME-SME";"Gew/LME";"GME";"Gew/GME";"KdStatistik";"rabf";"TRabGr";"prvf";"ProvGr";"BewGr";"skof";"PE";"PfVa";"fSP";"WS";"Bild";"Schema";"Bauteiltyp";"Werkstoff";"EurK";"angel durch";"AnlDatum";"AnlZt";"Prio";"miWBZ";"PrA";"S_Artikel_Obj";"best";"Frml";"ADP";"DPrÜ";"Driver_Obj";"VerfE";"VerfV";"SBM_CustomsTariffNo_Obj";"stf";"Sortierbezeichnung 2";"Sortierbezeichnung 3";"Sortierbezeichnung 4";"aWBZ";"Prozesskategorie";"Restmenge"
"cbienefeld";08.04.2025;"09:58:08";"100";"2000004";"RoHS";"Pfostenverbinder";"1-215882-0";"100";"VB0100";10;"";nein;"";nein;"CN";"";nein;"";1,0000;;;"";91;"4";ja;0,000000;;0,000000;;"PA2220:z:d645073b39f3e7bf8b148905603b3ecb";"";"";"";"";0;0;"";"";"A";"";0;1,0000000;0;99;nein;nein;0,000000;;0,0014;0;0,0000;führen;ja;"";ja;"";"02";ja;2;0;ja;0;"2000004.jpg";0;"";"";nein;"Kleber";26.01.2005;"14:57:19";0;14;nein;"PA0490::958b368b987d32b4e11131c6ee323205";nein;0;0%;1;"";0;0;"PA2393:Ypdb:8da57fc49b7d6f975514c9f17f57437b";nein;"Pfostenverbinder 2x5pol";"PVB-2X05-R2,54-CUSN/AU-1-MP";"H10,7/-55°+105°C/GR/DIN41651";0;"FBL-Steckverbinder";0,000
"msalamonova";15.04.2024;"08:16:39";"100";"2000021";"RoHS";"Pfostenverbinder";"3421-6600";"100";"VB0100";10;"";nein;"";nein;"VN";"";nein;"";1,0000;;;"";132;"4";ja;0,000000;;0,000000;;"PA2220:z:d645073b39f3e7bf8b148905603b3ecb";"";"";"";"";0;0;"";"";"A";"";0;1,0000000;0;99;nein;nein;0,000000;;0,0044;0;0,0000;führen;ja;"";ja;"";"02";ja;2;0;ja;0;"2000021.JPG";0;"";"";nein;"Kleber";26.01.2005;"14:30:11";0;132;nein;"PA0490::958b368b987d32b4e11131c66aa53205";nein;0;0%;1;"";0;0;"PA2393:Ypdb:8da57fc49b7d6f975514c9f17f57437b";nein;"Pfostenverbinder 2X10pol";"PVB-2X10-OZE MP-R2,54";"80610121057";0;"FBL-Steckverbinder";0,000
