"geänd durch";"ÄndDatum";"ÄndZeit";"Firma";"Teil ";"S_Artikel_Obj";"LiefNr";"S_Lieferant_Obj";"arch";"HptL";"Lief-TeileNr";"Bezeichnung [1]";"Bezeichnung [2]";"Bezeichnung [3]";"Bezeichnung [4]";"LZ";"ZELZ";"MinBestellMng";"Grundmenge";"S_Mengeneinheit_Obj";"Mengenfaktor";"LE n";"LE e";"gültig bis";"AfgJ";"AnfordDat";"Gewicht";"pT";"nT";"S_Preiseinheit_Obj";"PrBz";"S_LiefRabatt_Obj";"Value1_S_RabZuArt_Obj";"Value2_S_RabZuArt_Obj";"Value3_S_RabZuArt_Obj";"Value4_S_RabZuArt_Obj";"Value5_S_RabZuArt_Obj";"Perc1_S_RabZuArt_Obj";"Perc2_S_RabZuArt_Obj";"Perc3_S_RabZuArt_Obj";"Perc4_S_RabZuArt_Obj";"Perc5_S_RabZuArt_Obj";"baGM";"ProduktGr";"S_ProdGruppe_Obj";"S_SNRTyp_Obj";"BetrKal";"S_BetrKalender_Obj";"AnlZt";"angel durch";"AnlDatum";"E_ArtLief_Obj";"M_PackVorschrift_Obj";"Füllmenge";"Konfig";"Basis";"Nr";"Zahl";"Basis";"Nr";"Zahl";"Ver"
"cbienefeld";11.02.2025;"12:03:20";"100";"1100831";"PA0490::958b368b987d32b4e11131c6076e1505";91528;"PA0602::958b368b987d32b4e11131c66564a489";nein;ja;"71600-026LF";"";"";"";"";14;"4";1.080,000;15,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0038;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:9221d0e2998f5d9892145e55aca0cec1";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"08:07:21";"mhoffmannova";21.02.2018;"PA0713::f277c3d7cc25c1bce811d516e4fe14dc";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"cbienefeld";12.10.2023;"14:41:36";"100";"1300304";"PA0490::958b368b987d32b4e11131c686822805";77542;"PA0602::958b368b987d32b4e11131c6221bb289";nein;ja;"09062152871";"";"";"";"";35;"4";20,000;20,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0414;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:9221d0e2998f5d9892142f5434e0ba7f";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"13:03:40";"amohren";22.05.2011;"PA0713::958b368b987d32b4e11126c66733f710";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
