feature,importance
DemandMean_100_log1p,212.41813725652528
EoD_Bestand_noSiBe,144.75421933154232
EoD_Bestand_noSiBe_log1p,118.25358468000806
DemandMax_100_log1p,116.57002837993325
Lag_EoD_Bestand_noSiBe_mean_wbzTage,70.47582407913603
DemandMax_66_log1p,64.46972888690941
DemandMax_50_log1p,64.40368477887867
Lag_EoD_Bestand_noSiBe_mean_28Tage,50.04631992754025
DeficitPos_log1p,26.803917158912146
Lag_EoD_Bestand_noSiBe_mean_2xwbzTage,19.294605504571233
DemandMax_25_log1p,11.32472481604359
DemandMean_50_log1p,8.62115103868474
Price_Material_var,7.150089799066587
DemandMean_66_log1p,5.483555535432254
Lag_EoD_Bestand_noSiBe_mean_7Tage,3.6302727598502544
DemandMean_25_log1p,0.6889464087063516
WBZ_Days,-20.662292986272018
