feature,importance
DemandMean_66_log1p,1265.1625306839796
DemandMax_66_log1p,967.9977963288244
EoD_Bestand_noSiBe_log1p,494.5919006740672
DemandMax_25_log1p,427.82261142225553
Lag_EoD_Bestand_noSiBe_wbzTage,371.2480135094411
Lag_EoD_Bestand_noSiBe_7Tage,325.69244671075273
EoD_Bestand_noSiBe,290.0938199900931
Lag_EoD_Bestand_noSiBe_28Tage,285.5947304756738
Price_Material_var,260.4863515569299
Lag_EoD_Bestand_noSiBe_2xwbzTage,250.05886171023866
DemandMean_25_log1p,246.50728911493542
DeficitPos_log1p,120.27656987046282
WBZ_Days,115.68299118938486
