feature,importance
EoD_Bestand_noSiBe_log1p,96.45125636765003
DemandMean_100_log1p,80.74533350660673
DemandMax_100_log1p,79.0776915146482
DeficitPos_log1p,66.92135090911657
Lag_EoD_Bestand_noSiBe_wbzTage,54.288163544041154
DemandMax_50_log1p,50.98831251193396
DemandMean_50_log1p,49.152983376869486
DemandMax_25_log1p,46.37197389498639
EoD_Bestand_noSiBe,39.780268800486695
DemandMean_25_log1p,22.981041451481055
Lag_EoD_Bestand_noSiBe_7Tage,16.0641335782747
Lag_EoD_Bestand_noSiBe_28Tage,10.568552844938973
Lag_EoD_Bestand_noSiBe_2xwbzTage,6.526033340354002
DemandMean_66_log1p,5.495374029550613
DemandMax_66_log1p,2.322469537933671
