feature,importance
DemandMax_100_log1p,629.1375807477402
DemandMean_100_log1p,529.7255386482396
DemandMean_66_log1p,379.77950389595895
DemandMax_50_log1p,223.82653209401116
DemandMax_66_log1p,223.43679619926988
Lag_EoD_Bestand_noSiBe_mean_28Tage,207.9319626898447
DemandMean_50_log1p,134.62589868611775
Price_Material_var,133.30998428887784
EoD_Bestand_noSiBe_log1p,114.80682754426675
EoD_Bestand_noSiBe,112.28833479580348
Lag_EoD_Bestand_noSiBe_7Tage,90.8965046544261
DeficitPos_log1p,90.71363438605502
Lag_EoD_Bestand_noSiBe_28Tage,88.16900056612994
DemandMax_25_log1p,69.90849456409104
WBZ_Days,61.919242789072015
DemandMean_25_log1p,59.997842427455865
Lag_EoD_Bestand_noSiBe_mean_7Tage,35.48995445392957
