feature,importance
DemandMax_100_log1p,501.0448879063757
DemandMean_100_log1p,402.1466613949141
DemandMax_50_log1p,170.1389074550969
DemandMean_66_log1p,166.44762595943763
DemandMax_66_log1p,149.97790020001108
Lag_EoD_Bestand_noSiBe_mean_28Tage,139.10791929895296
EoD_Bestand_noSiBe_log1p,103.00093318559598
DemandMean_50_log1p,92.66931416881822
DeficitPos_log1p,86.32715530480047
Price_Material_var,81.05602545753369
EoD_Bestand_noSiBe,80.10108716972351
DemandMax_25_log1p,77.043491374676
Lag_EoD_Bestand_noSiBe_28Tage,58.80456320699024
Lag_EoD_Bestand_noSiBe_7Tage,40.57370626898747
DemandMean_25_log1p,37.00147557975521
WBZ_Days,30.49615645861718
Lag_EoD_Bestand_noSiBe_mean_7Tage,28.045999157306746
