feature,importance
DemandMean_100_log1p,230.63360873699912
DemandMax_50_log1p,137.00606692798416
DemandMax_100_log1p,136.95069921131216
DeficitPos_log1p,74.54420134963485
DemandMean_50_log1p,63.815607472156145
Lag_EoD_Bestand_noSiBe_mean_wbzTage,60.525158351234566
EoD_Bestand_noSiBe_log1p,59.49689481125686
Lag_EoD_Bestand_noSiBe_mean_28Tage,31.262144436908113
DemandMax_66_log1p,24.98241613054506
Lag_EoD_Bestand_noSiBe_mean_2xwbzTage,21.16277613582141
DemandMean_66_log1p,17.468765487984058
EoD_Bestand_noSiBe,9.170898537531775
DemandMean_25_log1p,5.366426508054974
Lag_EoD_Bestand_noSiBe_mean_7Tage,3.251491389737339
Price_Material_var,1.3727483993230976
DemandMax_25_log1p,-10.779050619772885
WBZ_Days,-17.202349622388045
