"geänd durch";"ÄndDatum";"ÄndZeit";"Firma";"Teil ";"S_Artikel_Obj";"LiefNr";"S_Lieferant_Obj";"arch";"HptL";"Lief-TeileNr";"Bezeichnung [1]";"Bezeichnung [2]";"Bezeichnung [3]";"Bezeichnung [4]";"LZ";"ZELZ";"MinBestellMng";"Grundmenge";"S_Mengeneinheit_Obj";"Mengenfaktor";"LE n";"LE e";"gültig bis";"AfgJ";"AnfordDat";"Gewicht";"pT";"nT";"S_Preiseinheit_Obj";"PrBz";"S_LiefRabatt_Obj";"Value1_S_RabZuArt_Obj";"Value2_S_RabZuArt_Obj";"Value3_S_RabZuArt_Obj";"Value4_S_RabZuArt_Obj";"Value5_S_RabZuArt_Obj";"Perc1_S_RabZuArt_Obj";"Perc2_S_RabZuArt_Obj";"Perc3_S_RabZuArt_Obj";"Perc4_S_RabZuArt_Obj";"Perc5_S_RabZuArt_Obj";"baGM";"ProduktGr";"S_ProdGruppe_Obj";"S_SNRTyp_Obj";"BetrKal";"S_BetrKalender_Obj";"AnlZt";"angel durch";"AnlDatum";"E_ArtLief_Obj";"M_PackVorschrift_Obj";"Füllmenge";"Konfig";"Basis";"Nr";"Zahl";"Basis";"Nr";"Zahl";"Ver"
"pcabanova";02.05.2024;"13:29:30";"100";"2600089";"PA0490::958b368b987d32b4e11131c6693d7b05";74524;"PA0602::958b368b987d32b4e11131c65fc29189";nein;ja;"018.90.255";"";"";"";"";14;"4";500,000;500,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0001;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:c9fc46ff19416f9d9214bc5070d86508";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"16:25:34";"Kleber";26.01.2005;"PA0713::958b368b987d32b4e11126c627e28511";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"mvachelova";16.06.2023;"12:56:23";"100";"2600199";"PA0490::958b368b987d32b4e11131c617ab7e05";70577;"PA0602::958b368b987d32b4e11131c62503c189";nein;ja;"926882-3";"";"";"";"";14;"4";5.000,000;5.000,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0001;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:80ebfab0c34b5faa9214f0453855d610";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"13:08:13";"nstelmach";11.06.2012;"PA0713::958b368b987d32b4e11126c640839111";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"mhoffmannova";30.01.2023;"09:36:58";"100";"2600298";"PA0490::958b368b987d32b4e11131c6418b8205";77539;"PA0602::958b368b987d32b4e11131c6879db089";nein;ja;"SPH-002T-P0.5S";"";"";"";"";14;"4";8.000,000;8.000,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0010;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"12:51:50";"uoyen";06.07.2007;"PA0713::958b368b987d32b4e11126c6583f9c11";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"kfigiel";22.01.2024;"13:36:35";"100";"2600323";"PA0490::958b368b987d32b4e11131c6bdfd8205";70577;"PA0602::958b368b987d32b4e11131c62503c189";nein;ja;"";"";"";"";"";14;"4";1.000,000;1.000,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0001;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:80ebfab0c34b5faa9214f0453855d610";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"11:41:22";"mappenzeller";16.07.2012;"PA0713::f2b3ef77aa6f9c8fe1112acfafcf0668";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"cbienefeld";30.01.2025;"11:45:20";"100";"2600497";"PA0490::958b368b987d32b4e11131c69eac8505";70620;"PA0602::b109d2cca10022afe911f367219ea47c";nein;ja;"";"";"";"";"";28;"4";8.000,000;8.000,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0006;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:80ebfab0c34b5faa9214f74530e7ed9e";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"10:33:13";"kfigiel";20.10.2021;"PA0713:z:e134b1f7ce02edb98914775abc8814d8";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"mbong";26.08.2019;"16:06:52";"100";"2600517";"PA0490::958b368b987d32b4e11131c61a1f8605";70577;"PA0602::958b368b987d32b4e11131c62503c189";nein;ja;"926882-1";"UNIV-MNL-Buchsenkontakt";"0,50-2,00mm^2";"CuZn30, vorverzinnt";"";14;"4";5.000,000;5.000,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0001;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"11:59:12";"mappenzeller";16.07.2012;"PA0713::f2b3ef77aa6f9c8fe1112ccfcda3e0e5";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"cbienefeld";14.01.2025;"16:07:36";"100";"2600518";"PA0490::958b368b987d32b4e11131c61b1f8605";70620;"PA0602::b109d2cca10022afe911f367219ea47c";nein;ja;"";"";"";"";"";14;"4";8.000,000;8.000,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0001;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:80ebfab0c34b5faa9214f74530e7ed9e";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"10:23:01";"kfigiel";20.10.2021;"PA0713:z:e134b1f7ce02edb989145b5a84a09552";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"cbienefeld";06.06.2025;"10:06:15";"100";"2600609";"PA0490::958b368b987d32b4e11131c6ca009105";77539;"PA0602::958b368b987d32b4e11131c6879db089";nein;ja;"50079-8000";"";"";"";"";14;"4";75.000,000;25.000,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0002;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:c075ee9907df1c9baa148b8fec4b7ba0";"";"";"";"";"";"";"";"";"";"";nein;"";"";"";;"";"10:44:06";"skuschel";28.11.2007;"PA0713::958b368b987d32b4e11126c63550b211";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"mvachelova";22.09.2023;"11:29:00";"100";"2600631";"PA0490::958b368b987d32b4e11131c6e90b9205";85531;"PA0602::958b368b987d32b4e11131c64fba9e89";nein;ja;"70252031230110";"GHW 25203.123.011";"KKS A 4-1 BF CuZn/verz.";"";"";14;"4";6.000,000;6.000,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0060;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:9221d0e2998f5d989214de548873bc00";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"16:25:46";"Kleber";26.01.2005;"PA0713::958b368b987d32b4e11126c63bffb411";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"pantosova";30.10.2024;"13:03:03";"100";"2600642";"PA0490::958b368b987d32b4e11131c68ea49205";70577;"PA0602::958b368b987d32b4e11131c62503c189";nein;ja;"";"";"";"";"";14;"4";5.000,000;5.000,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0002;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:80ebfab0c34b5faa9214f0453855d610";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"15:13:05";"dfischer";05.05.2014;"PA0713::9f5106f6203ff4aae31156d4c30498fe";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
