"geänd durch";"ÄndDatum";"ÄndZeit";"Firma";"Teil ";"S_Artikel_Obj";"LiefNr";"S_Lieferant_Obj";"arch";"HptL";"Lief-TeileNr";"Bezeichnung [1]";"Bezeichnung [2]";"Bezeichnung [3]";"Bezeichnung [4]";"LZ";"ZELZ";"MinBestellMng";"Grundmenge";"S_Mengeneinheit_Obj";"Mengenfaktor";"LE n";"LE e";"gültig bis";"AfgJ";"AnfordDat";"Gewicht";"pT";"nT";"S_Preiseinheit_Obj";"PrBz";"S_LiefRabatt_Obj";"Value1_S_RabZuArt_Obj";"Value2_S_RabZuArt_Obj";"Value3_S_RabZuArt_Obj";"Value4_S_RabZuArt_Obj";"Value5_S_RabZuArt_Obj";"Perc1_S_RabZuArt_Obj";"Perc2_S_RabZuArt_Obj";"Perc3_S_RabZuArt_Obj";"Perc4_S_RabZuArt_Obj";"Perc5_S_RabZuArt_Obj";"baGM";"ProduktGr";"S_ProdGruppe_Obj";"S_SNRTyp_Obj";"BetrKal";"S_BetrKalender_Obj";"AnlZt";"angel durch";"AnlDatum";"E_ArtLief_Obj";"M_PackVorschrift_Obj";"Füllmenge";"Konfig";"Basis";"Nr";"Zahl";"Basis";"Nr";"Zahl";"Ver"
"mvachelova";11.04.2025;"09:40:23";"100";"2000040";"PA0490::958b368b987d32b4e11131c636643305";91528;"PA0602::958b368b987d32b4e11131c66564a489";nein;ja;"5-215882-0";"";"";"";"";105;"4";2.800,000;28,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0080;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:9221d0e2998f5d9892145e55aca0cec1";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"13:27:07";"mappenzeller";06.06.2014;"PA0713::8c4e9004fe1a18a9e3116ded9a0b2b7e";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"mvachelova";24.06.2025;"11:40:41";"100";"2000338";"PA0490::958b368b987d32b4e11131c606973b05";70577;"PA0602::958b368b987d32b4e11131c62503c189";nein;ja;"1-100103-0";"10 pollige Zugentlastung";"AMP-LATCH";"";"";140;"4";80.000,000;2.500,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0004;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:80ebfab0c34b5faa9214f0453855d610";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"12:57:42";"mvachelova";14.09.2016;"PA0713::caf8eecc81a27d9be6116a7a6d9a610f";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"mskolakova";19.08.2025;"11:43:24";"100";"2000396";"PA0490::958b368b987d32b4e11131c66dd33d05";91528;"PA0602::958b368b987d32b4e11131c66564a489";nein;ja;"1-215882-6";"16P IDC FMALE W/POL 2.54MM";"";"";"";70;"4";63,000;63,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0000;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:9221d0e2998f5d9892145e55aca0cec1";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"10:39:15";"mvachelova";27.05.2014;"PA0713::e2919a99dadf0fa6e3117ae517922462";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"cbienefeld";11.02.2025;"12:03:17";"100";"2000605";"PA0490::958b368b987d32b4e11131c61db54805";91528;"PA0602::958b368b987d32b4e11131c66564a489";nein;ja;"71600-108LF";"";"";"";"";14;"4";12.960,000;40,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0010;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:9221d0e2998f5d9892145e55aca0cec1";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"13:07:14";"mhoffmannova";22.02.2018;"PA0713::ad1afe7a580843bee811c8176a5114eb";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"mskolakova";10.07.2025;"14:43:48";"100";"2000807";"PA0490::b79a8582a60eb6a9e311343bdad2055b";77614;"PA0602::9b8fea5aa3e77caee7114d0d8f09316f";nein;ja;"3-215882-4";"VPE 45St";"";"";"";112;"4";5.625,000;45,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0038;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:c544d5f50e501aacc014f4bc68089eb6";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"10:39:50";"cwittstock";08.12.2017;"PA0713::d33eb46bdf49e392e711fbdb043141bc";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"mskolakova";19.08.2025;"11:50:34";"100";"2000809";"PA0490::c9b5af88e5444799e311fc3beaf3855b";91528;"PA0602::958b368b987d32b4e11131c66564a489";nein;ja;"1-216791-0";"";"";"";"";35;"4";1.120,000;140,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0010;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:9221d0e2998f5d9892145e55aca0cec1";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"15:58:04";"lgrein";19.09.2019;"PA0713:z:c8042a67c473eba85a145e96accfde88";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"cbienefeld";24.03.2025;"11:07:46";"100";"2000900";"PA0490::afeac986bd758689e711cabf08dbdb51";77542;"PA0602::958b368b987d32b4e11131c6221bb289";nein;ja;"09185107813";"";"";"";"";28;"4";100,000;100,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0018;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:9221d0e2998f5d9892142f5434e0ba7f";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"13:35:35";"tenigk";02.11.2017;"PA0713::afeac986bd758689e711cabf3959dd52";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"pantosova";18.07.2025;"10:46:53";"100";"2400229";"PA0490::810d33551a42568ae4110485f090f146";73512;"PA0602::958b368b987d32b4e11131c674f88f89";nein;ja;"7100234238";"";"";"";"";91;"4";840,000;420,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0096;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:a9c8ca8607e837868b1457815cd3c1c8";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"10:16:55";"anoll";16.12.2014;"PA0713::810d33551a42568ae411048563447f47";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"cbienefeld";29.05.2024;"12:57:48";"100";"2500484";"PA0490::f8eacc7693105e95e81163f8bf4ed659";82577;"PA0602::e9cc1c7ed0178d80e2111abe1e4d8eec";nein;ja;"";"";"";"";"";14;"4";500,000;500,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0016;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:9221d0e2998f5d989214bc54d079ac0c";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"08:57:03";"klocht";05.12.2018;"PA0713::f8eacc7693105e95e81163f83661085a";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
"pcabanova";13.02.2023;"14:33:48";"100";"2600073";"PA0490::958b368b987d32b4e11131c649327a05";74524;"PA0602::958b368b987d32b4e11131c65fc29189";nein;ja;"018.80.053";"MBM 500 St !!!";"";"";"";14;"4";500,000;500,000;"PA0611::958b368b987d32b4e11131c6c596dc89";1,0000000;nein;nein;;0000;;0,0001;0%;0%;"PA0621::958b368b987d32b4e11131c6cb38ef89";Einheit;"PA0605:z:c9fc46ff19416f9d9214bc5070d86508";"";"";"";"";"";"";"";"";"";"";ja;"";"";"";;"";"16:25:34";"Kleber";26.01.2005;"PA0713::958b368b987d32b4e11126c6f9d68411";"";0,000;nein;0,00;;0,000;0,00;;0,000;nein
