"Firma";"Teil ";"S_Artikel_Obj";"Lagerort";"ML_Ort_Obj";"Var ";"ML_Lagergruppe_Obj";"Lagerplatz";"Auffüllbestand";"Auslösebestand";"Inv";"InvMeldebestand";"pInv";"Maximalbestand";"Meldebestand";"Sicherheitsbest";"Vorratsbestand";"UmlMenge";"ULV";"BuSp";"arch";"MLM_StorPartData_Obj";"Kunde*";"Sachbearb";"Projekt";"Laufzeit"
"100";"2000004";"PA0490::958b368b987d32b4e11131c6ee323205";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;15.000,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee498e2fb2e";"";"cbienefeld";"A-Teil";31.12.2025
"100";"2000021";"PA0490::958b368b987d32b4e11131c66aa53205";120;"PA0823::958b368b987d32b4e1112cc679eac983";"";"PA0819::958b368b987d32b4e1112cc68091c183";"";0,000;0,000;nein;0,000;ja;0,000;0,000;1.000,000;0,000;0,000;nein;nein;nein;"PA2215:Ypdb:f7164d7c9795a5b45514dee4784eea2f";"";"";"A-Teil";31.12.2022
