feature,importance
DemandMean_66_log1p,622.5036669804574
DemandMax_66_log1p,570.8077447080556
Lag_EoD_Bestand_noSiBe_wbzTage,281.4921160540547
EoD_Bestand_noSiBe_log1p,246.63984830960425
DemandMax_25_log1p,189.215687622093
Lag_EoD_Bestand_noSiBe_2xwbzTage,150.52487168233137
EoD_Bestand_noSiBe,131.59187680289295
Price_Material_var,130.39270077513936
Lag_EoD_Bestand_noSiBe_28Tage,129.38841307209836
DeficitPos_log1p,116.90678614686473
Lag_EoD_Bestand_noSiBe_7Tage,98.88744619883478
WBZ_Days,49.3330773112245
DemandMean_25_log1p,45.582391936730275
